Rank,Title,Author,Publisher,PublishDate,Price,Rating,ReviewCount,Link
619,구독형 AI의 한계를 넘어선 로컬 LLM 구축 바이블,김정수,은빛나무,2026년 01월,32400,2.0,1,https://www.yes24.com/product/goods/174201367
620,AI와 화학제품 독성 예측,서명원,커뮤니케이션북스,2026년 07월,12000,,0,https://www.yes24.com/product/goods/192695534
621,AI 에이전트와 애플리케이션,"로베르토 인판테, 이병욱",에이콘출판사,2026년 06월,36000,,0,https://www.yes24.com/product/goods/192038123
622,누구나 이해하는 클라우드 인프라 지식 사전,"바바 도시아키, 김완섭",한빛미디어,2026년 06월,29700,10.0,1,https://www.yes24.com/product/goods/191818663
623,LUVIT♥ EPL과 유튜브 데이터로 배우는 DuckDB,이기준,제이펍,2026년 06월,27000,10.0,2,https://www.yes24.com/product/goods/191697558
624,Do it! 스프링 AI를 활용한 AI 에이전트 개발 입문,박매일,이지스퍼블리싱,2026년 06월,30600,10.0,4,https://www.yes24.com/product/goods/191580688
625,AI 생존 지도,이석현,여림재,2026년 06월,18000,10.0,8,https://www.yes24.com/product/goods/191018764
626,Node.js + NestJS 교과서,조현영,길벗,2026년 05월,36000,9.7,7,https://www.yes24.com/product/goods/190250717
627,"하루 30분, 나는 제미나이로 돈을 번다",김민규,한빛미디어,2026년 03월,17100,9.3,33,https://www.yes24.com/product/goods/182256559
628,멘토시리즈 진짜 포토샵+with AI,코리아교육그룹 연구소,코리아교육그룹,2026년 01월,25200,10.0,1,https://www.yes24.com/product/goods/178728857
629,라즈베리파이로 만드는 인공지능과 사물인터넷,장문철,먼슬리북스,2026년 03월,20250,10.0,8,https://www.yes24.com/product/goods/173202173
630,ChatGPT와 아두이노로 만드는 AI 음성비서,장문철,먼슬리북스,2026년 01월,17550,10.0,9,https://www.yes24.com/product/goods/173200410
631,이게 되네? 챗GPT 미친 기획 X 마케팅 59제,"이나현, 황성민",골든래빗,2025년 06월,23400,10.0,6,https://www.yes24.com/product/goods/146492205
632,나는 해외구매대행으로 한 달에 월급을 두 번 받는다,제노,위키북스,2024년 11월,21600,10.0,5,https://www.yes24.com/product/goods/136883319
633,대치동 엄마들도 모르는 AI 활용법 2,"이종구, 이정화, 김찬곤, 한금화, 도윤서, 정보 더 보기/감추기, 이종구, 이정화, 김찬곤, 한금화, 도윤서, 오지성, 조현주, 배은영(밸라쌤), 박찬두",디지털콘텐츠그룹,2026년 07월,24300,,0,https://www.yes24.com/product/goods/193689833
634,인생 2막 스마트폰 AI 생활교과서,"이종구, 이정화, 박용수, 오원석",디지털콘텐츠그룹,2026년 07월,18000,,0,https://www.yes24.com/product/goods/193467062
635,AI와 라이프 아크 (큰글자책),노유진,커뮤니케이션북스,2026년 07월,25000,,0,https://www.yes24.com/product/goods/193448341
636,AI 창업 퍼실리테이터 (큰글자책),"이명관, 박상혁",커뮤니케이션북스,2026년 07월,25000,,0,https://www.yes24.com/product/goods/193448339
637,SOF Vol.2 ARCHITECTURE,Brian Bae,BOOKK(부크크),2026년 06월,22000,,0,https://www.yes24.com/product/goods/193406888
638,SOF Vol.1 JUDGMENT,Brian Bae,BOOKK(부크크),2026년 06월,21000,,0,https://www.yes24.com/product/goods/193406887
639,인쇄는 끝나지 않았다,김정호,유저북스,2026년 06월,18300,,0,https://www.yes24.com/product/goods/193406819
640,HOW LONG WILL DEVELOPERS STILL BE NEEDED,Ronnie Kim,BOOKK(부크크),2026년 07월,24900,,0,https://www.yes24.com/product/goods/193406703
641,이공계생을 위한 파이썬 필수예제 3,윤성호,지오북스,2026년 09월,29000,,0,https://www.yes24.com/product/goods/193184516
642,AI 리터러시 수업,배장섭,어가,2026년 07월,20000,,0,https://www.yes24.com/product/goods/193072404
643,생성형 AI와 메타버스 그리고 지식재산권,송은지,커뮤니케이션북스,2026년 07월,12000,10.0,1,https://www.yes24.com/product/goods/193061800
644,2026 챗GPT 업무 활용 마스터,강승우,삼일인포마인,2026년 07월,20000,,0,https://www.yes24.com/product/goods/193050142
645,AI 에이전트로 만드는 멀티미디어 전자책,황원판,BOOKK(부크크),2026년 06월,34000,,0,https://www.yes24.com/product/goods/192978021
646,VIBE CODING,이수미,BOOKK(부크크),2026년 06월,19500,,0,https://www.yes24.com/product/goods/192977971
647,AX의 심리학,정혜인,커뮤니케이션북스,2026년 07월,12000,,0,https://www.yes24.com/product/goods/192871548
648,"AI 시대, 방송콘텐츠 교육","박민서, 이승현",커뮤니케이션북스,2026년 07월,12000,,0,https://www.yes24.com/product/goods/192871544
649,우분투 리눅스,이종원,한빛아카데미,2026년 06월,35000,,0,https://www.yes24.com/product/goods/192735146
650,내 AI 천재로 키우는 법 1,이태종,이태종NIE논술연구소,2026년 07월,22500,10.0,3,https://www.yes24.com/product/goods/192687429
651,처음이야? 파이썬 데이터 모델링&머신러닝,"윤영빈, 오환, 이용희",영진닷컴,2026년 07월,22500,,0,https://www.yes24.com/product/goods/192676816
652,유아 놀이와 AI 교육,최수연,커뮤니케이션북스,2026년 06월,12000,,0,https://www.yes24.com/product/goods/192557879
653,실전 코딩 테스트 가이드,"이상도, 쩜튜브, 김민상",영진닷컴,2026년 06월,25200,,0,https://www.yes24.com/product/goods/192555244
654,생성형 AI와 틴커캐드로 완성하는 아두이노 발명 프로젝트,이은상,BOOKK(부크크),2026년 06월,19700,,0,https://www.yes24.com/product/goods/192498898
655,목회사역 AI 프롬프트 모음집,이희준,BOOKK(부크크),2026년 06월,18000,,0,https://www.yes24.com/product/goods/192498869
656,윈도우 포렌식 수사,이승무,(주)박영사,2026년 06월,42000,,0,https://www.yes24.com/product/goods/192491769
657,디지털 혁신을 이끄는 정보화전략계획 (ISP),이장영,좋은땅,2026년 06월,58500,,0,https://www.yes24.com/product/goods/192470749
658,문구의 세계,"문구 제조사 노우토,  타카기 요시노리, 고영자",영진닷컴,2026년 06월,18000,,0,https://www.yes24.com/product/goods/192300987
659,챗GPT와 제미나이 그리고 AI 숏폼 동영상 제작과 활용법의 인공지능 입문 실무 업무 자동화 왕초보 입문 3종 패키지,액션미디어 편집부,액션미디어,2026년 06월,49800,,0,https://www.yes24.com/product/goods/192207269
660,중소기업의 AI 활용 실무,배용일,BOOKK(부크크),2026년 06월,24000,10.0,1,https://www.yes24.com/product/goods/192090565
661,비전공자를 위한 클라우드 컴퓨팅,백지석,BOOKK(부크크),2026년 06월,21000,10.0,1,https://www.yes24.com/product/goods/192090475
662,셀프프롬프트,전행진,퍼블리터,2026년 06월,16650,,0,https://www.yes24.com/product/goods/192026072
663,디자이너를 위한 AI 디자인 크리에이티브 아트워크,정승용,제이펍,2026년 06월,22500,10.0,5,https://www.yes24.com/product/goods/192021270
