순위	제목	저자	출판사	출간일	판매가	정가	할인율	링크	이미지
383	몰입을 설계하는 게임 기획	쉬웨이훙	제이펍	2026년 04월	25,200	28,000	10.0	https://www.yes24.com/product/goods/187043716	https://image.yes24.com/goods/187043716/L
384	요즘 교실 혁신의 공식 AI·에듀테크 활용법 with 2022 개정 교육과정	진제헌	앤써북	2026년 05월	20,970	23,300	10.0	https://www.yes24.com/product/goods/186936350	https://image.yes24.com/goods/186936350/L
385	구글 AI 제미나이(Gemini) 200% 활용법	정의	BOOKK(부크크)	2026년 04월	8,800	8,800	nan	https://www.yes24.com/product/goods/186675889	https://image.yes24.com/goods/186675889/L
386	그림으로 이해하는 AWS 구조와 기술	오가사와라 시게타카	길벗	2026년 04월	23,400	26,000	10.0	https://www.yes24.com/product/goods/186524948	https://image.yes24.com/goods/186524948/L
387	F1 용어집 1211	윤재수	골든래빗	2026년 04월	60,000	60,000	nan	https://www.yes24.com/product/goods/185717805	https://image.yes24.com/goods/185717805/L
388	AI 프로덕트는 어떻게 만들어지는가	류인태	한빛미디어	2026년 04월	22,500	25,000	10.0	https://www.yes24.com/product/goods/184402508	https://image.yes24.com/goods/184402508/L
389	젠스파크 Genspark AI 콘텐츠 공장	조영빈	디지털북스	2026년 04월	18,000	20,000	10.0	https://www.yes24.com/product/goods/184283938	https://image.yes24.com/goods/184283938/L
390	앗싸 나도 되네! 오늘부터 바로 써먹는 AI 보험영업 활용법	조대수	재노북스	2026년 03월	25,200	28,000	10.0	https://www.yes24.com/product/goods/183756523	https://image.yes24.com/goods/183756523/L
391	어쨌든, 에이전틱 코딩	코다프레스	인사이트(insight)	2026년 04월	22,500	25,000	10.0	https://www.yes24.com/product/goods/183651449	https://image.yes24.com/goods/183651449/L
392	스프링 AI 인 액션	크레이그 월즈	위키북스	2026년 04월	28,800	32,000	10.0	https://www.yes24.com/product/goods/183640934	https://image.yes24.com/goods/183640934/L
393	이것이 리눅스다 with Rocky Linux 10	우재남	한빛미디어	2026년 03월	36,000	40,000	10.0	https://www.yes24.com/product/goods/182750165	https://image.yes24.com/goods/182750165/L
394	Logic Pro 로직 프로 12	최이진	노하우(도서출판)	2026년 04월	29,700	33,000	10.0	https://www.yes24.com/product/goods/182625671	https://image.yes24.com/goods/182625671/L
395	학업과 취업을 위한 제미나이 노트북LM으로 무엇이든 만들 수 있다	전다희	광문각출판미디어	2026년 02월	22,000	22,000	nan	https://www.yes24.com/product/goods/182526149	https://image.yes24.com/goods/182526149/L
396	제미나이로 구글·이미지·영상·자동화 진짜 잘함	이호정	리코멘드	2026년 03월	16,920	18,800	10.0	https://www.yes24.com/product/goods/182116268	https://image.yes24.com/goods/182116268/L
