순위	제목	저자	출판사	출간일	판매가	정가	할인율	링크	이미지
1	바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인	차진우	골든래빗	2026년 05월	25,200	28,000	10.0	https://www.yes24.com/product/goods/189114943	https://image.yes24.com/goods/189114943/L
2	혼자 공부하는 바이브 코딩 with 클로드 코드	조태호	한빛미디어	2025년 12월	27,000	30,000	10.0	https://www.yes24.com/product/goods/167573138	https://image.yes24.com/goods/167573138/L
3	뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드	코리아교육그룹 연구소	안경다리BOOKS	2026년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/192148896	https://image.yes24.com/goods/192148896/L
4	이게 되네? 제미나이 완전 미친 활용법 81제	오힘찬	골든래빗	2026년 02월	21,600	24,000	10.0	https://www.yes24.com/product/goods/176901674	https://image.yes24.com/goods/176901674/L
5	요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이	안익재	앤써북	2025년 12월	17,820	19,800	10.0	https://www.yes24.com/product/goods/169849422	https://image.yes24.com/goods/169849422/L
6	AI 시대의 질문력, 프롬프트 엔지니어링	류한석	코리아닷컴(Korea.com)	2025년 08월	24,300	27,000	10.0	https://www.yes24.com/product/goods/150566390	https://image.yes24.com/goods/150566390/L
7	돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공]	스튜디오 홍차	골든래빗	2026년 07월	23,220	25,800	10.0	https://www.yes24.com/product/goods/193587161	https://image.yes24.com/goods/193587161/L
8	하네스 엔지니어링 with 클로드 코드	황민호	한빛미디어	2026년 06월	27,000	30,000	10.0	https://www.yes24.com/product/goods/189818905	https://image.yes24.com/goods/189818905/L
9	한눈에 보는 AI 반도체 산업	MrTrigger	한빛미디어	2026년 03월	23,400	26,000	10.0	https://www.yes24.com/product/goods/183751609	https://image.yes24.com/goods/183751609/L
10	요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정	공지훈	한빛미디어	2026년 05월	19,800	22,000	10.0	https://www.yes24.com/product/goods/189413191	https://image.yes24.com/goods/189413191/L
11	클로드 코드로 시작하는 실전 에이전틱 코딩	Goos Kim	더 타이즈	2026년 05월	29,700	33,000	10.0	https://www.yes24.com/product/goods/189211422	https://image.yes24.com/goods/189211422/L
12	챗GPT · 제미나이 · 클로드까지 모두를 위한 AI	지현이	시프트	2026년 07월	19,800	22,000	10.0	https://www.yes24.com/product/goods/192877325	https://image.yes24.com/goods/192877325/L
13	바쁜 교사를 위한 바로 쓰는 AI	전소영	사회평론아카데미	2026년 04월	21,600	24,000	10.0	https://www.yes24.com/product/goods/185897982	https://image.yes24.com/goods/185897982/L
14	현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!)	권수정	광문각출판미디어	2026년 07월	19,000	19,000	nan	https://www.yes24.com/product/goods/193389466	https://image.yes24.com/goods/193389466/L
15	요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정	박진환	한빛미디어	2025년 05월	18,000	20,000	10.0	https://www.yes24.com/product/goods/145426898	https://image.yes24.com/goods/145426898/L
16	진짜 쓰는 실무 엑셀	전진권	제이펍	2022년 02월	18,900	21,000	10.0	https://www.yes24.com/product/goods/106711883	https://image.yes24.com/goods/106711883/L
17	일 잘하는 직장인의 AI 활용법	김덕중	디지털북스	2026년 05월	19,800	22,000	10.0	https://www.yes24.com/product/goods/189531001	https://image.yes24.com/goods/189531001/L
18	된다! 캡컷 영상 편집	지민이	이지스퍼블리싱	2026년 05월	19,800	22,000	10.0	https://www.yes24.com/product/goods/188182444	https://image.yes24.com/goods/188182444/L
19	조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프	조동근	한빛미디어	2026년 05월	27,000	30,000	10.0	https://www.yes24.com/product/goods/189855418	https://image.yes24.com/goods/189855418/L
20	Do it! 점프 투 파이썬	박응용	이지스퍼블리싱	2023년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/119293186	https://image.yes24.com/goods/119293186/L
21	교사를 위한 AI 에듀테크 수업·생활·업무 대백과	송해남	프리렉	2026년 05월	24,300	27,000	10.0	https://www.yes24.com/product/goods/189634812	https://image.yes24.com/goods/189634812/L
22	클로드 코드 마스터	이남희	한빛미디어	2026년 04월	32,400	36,000	10.0	https://www.yes24.com/product/goods/186846424	https://image.yes24.com/goods/186846424/L
23	된다! 하루 만에 끝내는 제미나이 활용법	권서림	이지스퍼블리싱	2025년 11월	18,000	20,000	10.0	https://www.yes24.com/product/goods/163301895	https://image.yes24.com/goods/163301895/L
24	3줄의 글로 수익을 만드는 스레드 운영법	이동영	한빛미디어	2025년 10월	18,000	20,000	10.0	https://www.yes24.com/product/goods/159167901	https://image.yes24.com/goods/159167901/L
25	클로드 올인원 with 코워크, 코드, 디자인	클리커	한빛미디어	2026년 06월	28,800	32,000	10.0	https://www.yes24.com/product/goods/192127768	https://image.yes24.com/goods/192127768/L
26	혼자 공부하는 파이썬	윤인성	한빛미디어	2022년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/109625396	https://image.yes24.com/goods/109625396/L
27	UX의 언어들	한성희	파지트	2026년 07월	15,300	17,000	10.0	https://www.yes24.com/product/goods/193444437	https://image.yes24.com/goods/193444437/L
28	슈퍼휴먼 슈퍼워크	유호현	골든래빗	2026년 03월	21,600	24,000	10.0	https://www.yes24.com/product/goods/180953300	https://image.yes24.com/goods/180953300/L
29	피지컬 AI 시스템 설계	엥지유니버스	한빛미디어	2026년 06월	27,000	30,000	10.0	https://www.yes24.com/product/goods/192505185	https://image.yes24.com/goods/192505185/L
30	바이브 코더를 위한 최소한의 AI/IT 지식	클리커	한빛미디어	2026년 04월	19,800	22,000	10.0	https://www.yes24.com/product/goods/187173505	https://image.yes24.com/goods/187173505/L
31	교사와 학부모를 위한 바이브 코딩	황건호	씨마스21	2026년 07월	24,300	27,000	10.0	https://www.yes24.com/product/goods/192876161	https://image.yes24.com/goods/192876161/L
32	지적 대화를 위한 AI 언어 수업	강수진	어웨이크(AWAKE)	2026년 05월	18,000	20,000	10.0	https://www.yes24.com/product/goods/189212536	https://image.yes24.com/goods/189212536/L
33	바로바로 제미나이 X 구글 AI	공냥이	골든래빗	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/189114942	https://image.yes24.com/goods/189114942/L
34	요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정	박진환	한빛미디어	2026년 04월	21,600	24,000	10.0	https://www.yes24.com/product/goods/183538633	https://image.yes24.com/goods/183538633/L
35	클로드 코워크 with 스킬, 플러그인	클리커	한빛미디어	2026년 03월	23,400	26,000	10.0	https://www.yes24.com/product/goods/183674597	https://image.yes24.com/goods/183674597/L
36	요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오	송명신	앤써북	2026년 06월	15,930	17,700	10.0	https://www.yes24.com/product/goods/191481932	https://image.yes24.com/goods/191481932/L
37	학교에서 바로 쓰는 제미나이 & 노트북LM	손성호	학교도서관저널	2026년 04월	17,100	19,000	10.0	https://www.yes24.com/product/goods/184533580	https://image.yes24.com/goods/184533580/L
38	세컨드 브레인은 옵시디언 with 클로드 코드	시안	골든래빗	2026년 04월	23,750	25,000	5.0	https://www.yes24.com/product/goods/184275427	https://image.yes24.com/goods/184275427/L
39	요즘 바이브 코딩 코덱스 완벽 가이드	윤재원	골든래빗	2026년 02월	25,200	28,000	10.0	https://www.yes24.com/product/goods/175110068	https://image.yes24.com/goods/175110068/L
40	구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드	지미정	앤써북	2025년 04월	21,960	24,400	10.0	https://www.yes24.com/product/goods/144648441	https://image.yes24.com/goods/144648441/L
41	AI가 두려운 당신에게	배경훈	한빛미디어	2026년 07월	16,020	17,800	10.0	https://www.yes24.com/product/goods/193361186	https://image.yes24.com/goods/193361186/L
42	딥 유토피아	닉 보스트롬	까치(까치글방)	2026년 05월	25,200	28,000	10.0	https://www.yes24.com/product/goods/192878493	https://image.yes24.com/goods/192878493/L
43	요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정	김태선	한빛미디어	2026년 06월	18,900	21,000	10.0	https://www.yes24.com/product/goods/192509680	https://image.yes24.com/goods/192509680/L
44	Do it! AI 시대에 살아남는 프런트엔드 면접의 기술	정희	이지스퍼블리싱	2026년 06월	32,400	36,000	10.0	https://www.yes24.com/product/goods/191211795	https://image.yes24.com/goods/191211795/L
45	중국 AI 미래 지도	임선영	책만	2026년 06월	24,300	27,000	10.0	https://www.yes24.com/product/goods/191700749	https://image.yes24.com/goods/191700749/L
46	AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드	조훈	길벗	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/191693950	https://image.yes24.com/goods/191693950/L
47	원하는 대로 튜닝하는 나만의 sLLM	오지영	길벗	2026년 07월	30,600	34,000	10.0	https://www.yes24.com/product/goods/193160264	https://image.yes24.com/goods/193160264/L
48	돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]	김경은(단아쌤)	골든래빗	2026년 07월	23,220	25,800	10.0	https://www.yes24.com/product/goods/192695313	https://image.yes24.com/goods/192695313/L
49	제미나이 교사 마스터 플랜 (2026년 최신판)	한민철	책바세	2026년 04월	27,000	30,000	10.0	https://www.yes24.com/product/goods/183545796	https://image.yes24.com/goods/183545796/L
50	된다! 조회수 터지는 유튜브 쇼츠 만들기	최지영	이지스퍼블리싱	2025년 04월	19,800	22,000	10.0	https://www.yes24.com/product/goods/143907967	https://image.yes24.com/goods/143907967/L
51	한 권으로 끝내는 제미나이 재테크	조성호	한빛미디어	2026년 07월	18,900	21,000	10.0	https://www.yes24.com/product/goods/193044742	https://image.yes24.com/goods/193044742/L
52	딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트	LearnAI Team	위키북스	2026년 07월	23,400	26,000	10.0	https://www.yes24.com/product/goods/192564690	https://image.yes24.com/goods/192564690/L
53	누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오	현병욱(오땡큐)	시프트	2025년 09월	18,000	20,000	10.0	https://www.yes24.com/product/goods/152644865	https://image.yes24.com/goods/152644865/L
54	AI 2041	리카이푸	한빛비즈	2023년 01월	26,820	29,800	10.0	https://www.yes24.com/product/goods/116860343	https://image.yes24.com/goods/116860343/L
55	이게 되네? AI 실무 올인원 미친 활용법 71제	이석현	골든래빗	2026년 07월	23,400	26,000	10.0	https://www.yes24.com/product/goods/192277218	https://image.yes24.com/goods/192277218/L
56	이게 되네? 캔바 AI 미친 활용법 47제	이지쌤(이지훈)	골든래빗	2026년 05월	21,600	24,000	10.0	https://www.yes24.com/product/goods/187491806	https://image.yes24.com/goods/187491806/L
57	슬기로운 교사 생활 캔바 AI 수업 활용법	미나리쌤	골든래빗	2026년 07월	21,420	23,800	10.0	https://www.yes24.com/product/goods/192877328	https://image.yes24.com/goods/192877328/L
58	된다! 하루 만에 끝내는 챗GPT 활용법	프롬프트 크리에이터	이지스퍼블리싱	2025년 06월	18,000	20,000	10.0	https://www.yes24.com/product/goods/146955725	https://image.yes24.com/goods/146955725/L
59	리더의 AI 노트	김지현	한빛미디어	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/192529089	https://image.yes24.com/goods/192529089/L
60	90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제	최우진	앤써북	2026년 07월	15,930	17,700	10.0	https://www.yes24.com/product/goods/193050689	https://image.yes24.com/goods/193050689/L
61	회사는 엑셀을 가르쳐주지 않아요	쏘피(박성희)	메가스터디북스	2022년 09월	16,200	18,000	10.0	https://www.yes24.com/product/goods/112941801	https://image.yes24.com/goods/112941801/L
62	검색은 끝났다 AEO·GEO 마케팅	주민건	골든래빗	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/191698395	https://image.yes24.com/goods/191698395/L
63	다시, 소프트웨어 엔지니어	네서니얼 슈타	책만	2026년 05월	27,000	30,000	10.0	https://www.yes24.com/product/goods/189674360	https://image.yes24.com/goods/189674360/L
64	AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지	김용성	프리렉	2026년 04월	22,500	25,000	10.0	https://www.yes24.com/product/goods/185714339	https://image.yes24.com/goods/185714339/L
65	혼자 공부하는 머신러닝+딥러닝	박해선	한빛미디어	2025년 04월	28,800	32,000	10.0	https://www.yes24.com/product/goods/143912145	https://image.yes24.com/goods/143912145/L
66	수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법	황은지	제이펍	2026년 05월	19,800	22,000	10.0	https://www.yes24.com/product/goods/189128697	https://image.yes24.com/goods/189128697/L
67	된다! 하루 만에 준비하는 AI 학교 수업 활용법	정인걸	이지스퍼블리싱	2025년 03월	17,820	19,800	10.0	https://www.yes24.com/product/goods/142814138	https://image.yes24.com/goods/142814138/L
68	혼자 공부하는 C 언어	서현우	한빛미디어	2023년 05월	23,400	26,000	10.0	https://www.yes24.com/product/goods/118982111	https://image.yes24.com/goods/118982111/L
69	밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복	엄태효	위키북스	2026년 06월	25,200	28,000	10.0	https://www.yes24.com/product/goods/192047818	https://image.yes24.com/goods/192047818/L
70	클로드 코워크	신승희	생능북스	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/190852162	https://image.yes24.com/goods/190852162/L
71	아키텍처는 진화한다	공상휘	인사이트(insight)	2026년 07월	25,200	28,000	10.0	https://www.yes24.com/product/goods/192470678	https://image.yes24.com/goods/192470678/L
72	AI시대에 난생처음 들어보는 데이터센터 이야기	김주회	북플레이트	2026년 04월	19,800	22,000	10.0	https://www.yes24.com/product/goods/188266803	https://image.yes24.com/goods/188266803/L
73	진짜 쓰는 프리미어 영상 편집 2026 (최신개정판)	조블리	제이펍	2026년 06월	23,400	26,000	10.0	https://www.yes24.com/product/goods/191173742	https://image.yes24.com/goods/191173742/L
74	요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!	임우균	앤써북	2026년 02월	15,120	16,800	10.0	https://www.yes24.com/product/goods/176901915	https://image.yes24.com/goods/176901915/L
75	그림으로 이해하는 IT 인프라 구조와 기술	츠루나가 신이치	길벗	2026년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/192533233	https://image.yes24.com/goods/192533233/L
76	클로드 코워크 시작하기	조남경	비엘북스	2026년 07월	25,200	28,000	10.0	https://www.yes24.com/product/goods/192164452	https://image.yes24.com/goods/192164452/L
77	AI 냄새 지우기	벤진 리드	자이언톡	2026년 06월	17,820	19,800	10.0	https://www.yes24.com/product/goods/191485571	https://image.yes24.com/goods/191485571/L
78	된다! 스레드 활용법	거북이걸음	이지스퍼블리싱	2026년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/189520507	https://image.yes24.com/goods/189520507/L
79	돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그	정소희	골든래빗	2026년 04월	23,220	25,800	10.0	https://www.yes24.com/product/goods/185824258	https://image.yes24.com/goods/185824258/L
80	된다! 조회수 터지는 인스타그램 릴스 만들기	최지영	이지스퍼블리싱	2026년 03월	18,900	21,000	10.0	https://www.yes24.com/product/goods/180508055	https://image.yes24.com/goods/180508055/L
81	맛있는 디자인 포토샵&일러스트레이터 CC 2026	박정아	한빛미디어	2026년 02월	23,400	26,000	10.0	https://www.yes24.com/product/goods/176410996	https://image.yes24.com/goods/176410996/L
82	7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판)	홍순성	한빛미디어	2026년 06월	22,500	25,000	10.0	https://www.yes24.com/product/goods/191321951	https://image.yes24.com/goods/191321951/L
83	Do it! 유니티 6로 게임 제작 & 출시하기	고정운	이지스퍼블리싱	2026년 05월	32,400	36,000	10.0	https://www.yes24.com/product/goods/189790267	https://image.yes24.com/goods/189790267/L
84	AI 실전 마스터 칼릭스의 프롬프트 디테일	칼릭스(손윤석)	한빛비즈	2026년 04월	19,800	22,000	10.0	https://www.yes24.com/product/goods/187927629	https://image.yes24.com/goods/187927629/L
85	n8n이 다 해줌	이인영	한빛미디어	2026년 04월	25,200	28,000	10.0	https://www.yes24.com/product/goods/185269651	https://image.yes24.com/goods/185269651/L
86	한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편)	서민우	앤써북	2026년 04월	22,950	25,500	10.0	https://www.yes24.com/product/goods/184310483	https://image.yes24.com/goods/184310483/L
87	Do it! LLM을 활용한 AI 에이전트 개발 입문	이성용	이지스퍼블리싱	2025년 05월	31,500	35,000	10.0	https://www.yes24.com/product/goods/146036009	https://image.yes24.com/goods/146036009/L
88	혼자 공부하는 컴퓨터 구조+운영체제	강민철	한빛미디어	2022년 08월	25,200	28,000	10.0	https://www.yes24.com/product/goods/111378840	https://image.yes24.com/goods/111378840/L
89	요즘 바이브 코딩 하네스 with 클로드 코드	조성진	골든래빗	2026년 06월	27,000	30,000	10.0	https://www.yes24.com/product/goods/190806231	https://image.yes24.com/goods/190806231/L
90	클로드 코드를 활용한 바이브 코딩 완벽 입문	히라카와 토모히데	위키북스	2026년 03월	23,400	26,000	10.0	https://www.yes24.com/product/goods/180513899	https://image.yes24.com/goods/180513899/L
91	누구나 성공하는 AI 비서, 오픈클로	박권	책밥	2026년 07월	21,600	24,000	10.0	https://www.yes24.com/product/goods/193691277	https://image.yes24.com/goods/193691277/L
92	AI 영상 제작	문수민	길벗	2026년 07월	24,300	27,000	10.0	https://www.yes24.com/product/goods/193681748	https://image.yes24.com/goods/193681748/L
93	벡터 데이터베이스 설계와 구축	송기상	아이리포	2026년 07월	17,820	19,800	10.0	https://www.yes24.com/product/goods/192962342	https://image.yes24.com/goods/192962342/L
94	생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼)	장미희	박문각	2026년 07월	20,900	22,000	5.0	https://www.yes24.com/product/goods/192662784	https://image.yes24.com/goods/192662784/L
95	베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼)	송상미	광문각출판미디어	2026년 05월	19,000	19,000	nan	https://www.yes24.com/product/goods/189629427	https://image.yes24.com/goods/189629427/L
96	승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트	씨엠제이(최민정)	한빛미디어	2026년 05월	16,200	18,000	10.0	https://www.yes24.com/product/goods/188882750	https://image.yes24.com/goods/188882750/L
97	모두의 노션 AI	임대균	생능북스	2026년 04월	15,120	16,800	10.0	https://www.yes24.com/product/goods/183919456	https://image.yes24.com/goods/183919456/L
98	AI 시대 서·논술형 평가 설계 바이블	조현준	에듀니티교육연구소(에듀니티)	2026년 03월	19,800	22,000	10.0	https://www.yes24.com/product/goods/183539313	https://image.yes24.com/goods/183539313/L
99	AI 에이전트 엔지니어링	마이클 알바다	한빛미디어	2026년 01월	28,800	32,000	10.0	https://www.yes24.com/product/goods/174018513	https://image.yes24.com/goods/174018513/L
100	이게 되네? AI 쇼츠 만들기 미친 자동화 22제	천은영	골든래빗	2026년 01월	23,400	26,000	10.0	https://www.yes24.com/product/goods/169665962	https://image.yes24.com/goods/169665962/L
101	대체불가 AI 영상 제작 완전정복	이용태	책바세	2025년 12월	26,100	29,000	10.0	https://www.yes24.com/product/goods/165239801	https://image.yes24.com/goods/165239801/L
102	AI 엔지니어링	칩 후옌	한빛미디어	2025년 09월	36,000	40,000	10.0	https://www.yes24.com/product/goods/154925812	https://image.yes24.com/goods/154925812/L
103	업무와 일상을 정리하는 새로운 방법 노션	전시진	제이펍	2025년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/147074475	https://image.yes24.com/goods/147074475/L
104	핸즈온 LLM	제이 알아마르	한빛미디어	2025년 06월	34,200	38,000	10.0	https://www.yes24.com/product/goods/146828240	https://image.yes24.com/goods/146828240/L
105	질문으로 답을 찾는 인공지능 윤리 수업	박형빈	한언	2025년 04월	18,900	21,000	10.0	https://www.yes24.com/product/goods/144979816	https://image.yes24.com/goods/144979816/L
106	마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷	김지희	시프트	2025년 03월	20,700	23,000	10.0	https://www.yes24.com/product/goods/142201171	https://image.yes24.com/goods/142201171/L
107	바로바로 챗GPT X 덕테이프 X 코덱스	박현규	골든래빗	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/191479539	https://image.yes24.com/goods/191479539/L
108	하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩	그릿지선(이지선)	호호북앤드림	2026년 07월	17,820	19,800	10.0	https://www.yes24.com/product/goods/193667871	https://image.yes24.com/goods/193667871/L
109	색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정	전수연	디지털북스	2026년 07월	19,800	22,000	10.0	https://www.yes24.com/product/goods/193184189	https://image.yes24.com/goods/193184189/L
110	ComfyUI 독학노트	김한호	성안당	2026년 07월	34,200	38,000	10.0	https://www.yes24.com/product/goods/193157707	https://image.yes24.com/goods/193157707/L
111	요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품	시몬	골든래빗	2026년 07월	30,600	34,000	10.0	https://www.yes24.com/product/goods/193084292	https://image.yes24.com/goods/193084292/L
112	이게 되네? 클로드 MCP 커넥터 미친 활용법 31제	박현규	골든래빗	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/190210781	https://image.yes24.com/goods/190210781/L
113	알고 나면 무조건 써먹는 실무 엑셀	정훈희	한빛미디어	2026년 05월	20,700	23,000	10.0	https://www.yes24.com/product/goods/188859248	https://image.yes24.com/goods/188859248/L
114	퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI	권현욱	디지털북스	2026년 04월	19,800	22,000	10.0	https://www.yes24.com/product/goods/187039263	https://image.yes24.com/goods/187039263/L
115	자연은 왜 이토록 단순하면서도 아름다운가	로버트 칸	알에이치코리아(RHK)	2026년 04월	31,500	35,000	10.0	https://www.yes24.com/product/goods/186833195	https://image.yes24.com/goods/186833195/L
116	맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026	심수진	한빛미디어	2026년 03월	24,300	27,000	10.0	https://www.yes24.com/product/goods/179619230	https://image.yes24.com/goods/179619230/L
117	AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법	Dave Lee	길벗	2026년 02월	28,800	32,000	10.0	https://www.yes24.com/product/goods/175525819	https://image.yes24.com/goods/175525819/L
118	서논술형 평가, AI로 깊이를 더하다	지미정	앤써북	2025년 12월	22,950	25,500	10.0	https://www.yes24.com/product/goods/167719977	https://image.yes24.com/goods/167719977/L
119	처음이지만 프로처럼 쓰는 노션 Notion	박한용	디지털북스	2025년 09월	22,500	25,000	10.0	https://www.yes24.com/product/goods/154182485	https://image.yes24.com/goods/154182485/L
120	회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글	전미진	한빛미디어	2025년 08월	24,300	27,000	10.0	https://www.yes24.com/product/goods/151066074	https://image.yes24.com/goods/151066074/L
121	한 권으로 끝내는 아두이노 입문+실전 (종합편)	서민우	앤써북	2025년 03월	19,800	22,000	10.0	https://www.yes24.com/product/goods/143539772	https://image.yes24.com/goods/143539772/L
122	이게 되네? 챗GPT 미친 활용법 71제	오힘찬	골든래빗	2025년 01월	21,600	24,000	10.0	https://www.yes24.com/product/goods/140835200	https://image.yes24.com/goods/140835200/L
123	혼자 공부하는 네트워크	강민철	한빛미디어	2024년 04월	25,200	28,000	10.0	https://www.yes24.com/product/goods/125830483	https://image.yes24.com/goods/125830483/L
124	F1 레이스카의 공기역학	윤재수	골든래빗	2023년 11월	45,000	50,000	10.0	https://www.yes24.com/product/goods/122966082	https://image.yes24.com/goods/122966082/L
125	후니의 쉽게 쓴 시스코 네트워킹	진강훈	성안당	2024년 08월	38,700	43,000	10.0	https://www.yes24.com/product/goods/113485068	https://image.yes24.com/goods/113485068/L
126	혼자 공부하는 SQL	우재남	한빛미디어	2021년 11월	21,600	24,000	10.0	https://www.yes24.com/product/goods/104661489	https://image.yes24.com/goods/104661489/L
127	주인의 눈	맛떼오 파스퀴넬리	동녘	2026년 06월	27,000	30,000	10.0	https://www.yes24.com/product/goods/192469511	https://image.yes24.com/goods/192469511/L
128	AI 자율학습 AI 에이전트 개발 입문	박경민	길벗	2026년 07월	28,800	32,000	10.0	https://www.yes24.com/product/goods/192583611	https://image.yes24.com/goods/192583611/L
129	AI 에이전트 실행 세계 2 : 설계편	조쉬	로드북	2026년 06월	31,500	35,000	10.0	https://www.yes24.com/product/goods/191507359	https://image.yes24.com/goods/191507359/L
130	혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실	박창민	한빛미디어	2026년 07월	20,700	23,000	10.0	https://www.yes24.com/product/goods/192630668	https://image.yes24.com/goods/192630668/L
131	만들면서 배우는 AI 에이전트 개발 입문+실전	박나연(공원나연)	한빛미디어	2026년 05월	33,300	37,000	10.0	https://www.yes24.com/product/goods/187703288	https://image.yes24.com/goods/187703288/L
132	요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기	불혹코딩	골든래빗	2026년 05월	23,400	26,000	10.0	https://www.yes24.com/product/goods/187024885	https://image.yes24.com/goods/187024885/L
133	AI 국부론	이승현	골든래빗	2026년 03월	25,200	28,000	10.0	https://www.yes24.com/product/goods/181178233	https://image.yes24.com/goods/181178233/L
134	무조건 도움되는 유아교사 업무경감	김나영	교육과실천	2026년 01월	22,950	25,500	10.0	https://www.yes24.com/product/goods/174197933	https://image.yes24.com/goods/174197933/L
135	AI 로봇 구조 교과서	유승남	보누스	2026년 01월	20,700	23,000	10.0	https://www.yes24.com/product/goods/172059324	https://image.yes24.com/goods/172059324/L
136	나는 오렌지3로 인공지능한다	장병철	씨마스	2025년 12월	20,700	23,000	10.0	https://www.yes24.com/product/goods/167452848	https://image.yes24.com/goods/167452848/L
137	밑바닥부터 만들면서 배우는 LLM	세바스찬 라시카	길벗	2025년 09월	36,000	40,000	10.0	https://www.yes24.com/product/goods/154099735	https://image.yes24.com/goods/154099735/L
138	바로 배워서 바로 써먹는 바이브 코딩	박찬	다빈치books	2025년 09월	19,800	22,000	10.0	https://www.yes24.com/product/goods/152079426	https://image.yes24.com/goods/152079426/L
139	보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책	박경수	한빛비즈	2025년 08월	19,800	22,000	10.0	https://www.yes24.com/product/goods/150009333	https://image.yes24.com/goods/150009333/L
140	디자인 구구단	에이핫	길벗	2024년 08월	18,000	20,000	10.0	https://www.yes24.com/product/goods/129392318	https://image.yes24.com/goods/129392318/L
141	그림으로 이해하는 서버 구조와 기술	요코타 카즈키	길벗	2024년 06월	19,800	22,000	10.0	https://www.yes24.com/product/goods/127086566	https://image.yes24.com/goods/127086566/L
142	Do it! C++ 완전 정복	조규남	이지스퍼블리싱	2024년 03월	28,800	32,000	10.0	https://www.yes24.com/product/goods/125606390	https://image.yes24.com/goods/125606390/L
143	오토캐드 40시간 완성	신동진	피앤피북	2024년 03월	18,000	20,000	10.0	https://www.yes24.com/product/goods/125293471	https://image.yes24.com/goods/125293471/L
144	모두의 네트워크 기초	서지영	길벗	2024년 01월	21,600	24,000	10.0	https://www.yes24.com/product/goods/124806989	https://image.yes24.com/goods/124806989/L
