Rank,Title,Author,Publisher,PublishDate,Price,Rating,ReviewCount,Link,Description
889,깃허브 액션으로 구현하는 실전 CI/CD 설계와 운영,"노무라 도모키, 김완섭",제이펍,2025년 07월,25200,,0,https://www.yes24.com/product/goods/147569986,"깃허브 액션으로 구현하는 실전 CI/CD 설계와 운영. 자동화를 다루는 개발자에서, 자동화를 설계하는 개발자로테스트, 릴리스, 배포 과정을 자동화하면 개발 속도는 물론 협업 방식까지 달라진다. 깃허브 액션은 자동화를 코드로 구현하는 강력한 도구로, 단순한 시간..."
890,기후 위기와 인공지능,이천환,커뮤니케이션북스,2025년 06월,12000,,0,https://www.yes24.com/product/goods/147569950,"기후 위기와 인공지능. 전 세계는 기후 위기의 심각성을 인식하고 다양한 대응 방안을 마련하고 있으며, 기술적·정책적 노력을 통해 기후 위기에 대응하려는 움직임이 이어지고 있다. 아이러니하게도 인간이 만들어 낸 위기를 극복하기 위한 핵심 도구 역시 인간이 창조한..."
891,테디노트의 랭체인을 활용한 RAG 비법노트 [심화편],이경록,리코멘드,2025년 06월,25200,6.0,1,https://www.yes24.com/product/goods/147569409,테디노트의 랭체인을 활용한 RAG 비법노트 [심화편]. 파이프라인을 최적화하고 에이전트를 만들어 서비스로 배포하기까지90점짜리 RAG를 100점짜리 고급 RAG로 업그레이드하는 비법데이터를 검색해서 답변을 생성하는 RAG를 익혔다면 이제 정보를 더 정교하게 추...
892,AI로 하루 만에 영상 만들기 with 런웨이,"송태민, 서광민",한빛미디어,2025년 06월,18000,9.6,30,https://www.yes24.com/product/goods/147338262,"AI로 하루 만에 영상 만들기 with 런웨이. 비전문가도 OK! 기획, 제작, 편집도 AI로 모두 할 수 있다!런웨이, 미드저니, 챗GPT로 끝내는 영상 제작 프로세스 가이드북!영상 제작은 어렵고 시간이 오래 걸린다는 생각에 도전을 망설인다? 이제 생성형 A..."
893,코딩런 픽셀월드 대모험 피스켈&엔트리,코딩연구소,마린북스,2025년 05월,13500,,0,https://www.yes24.com/product/goods/147132535,"코딩런 픽셀월드 대모험 피스켈&엔트리. 피스켈로 꾸미는 픽셀월드!엔트리로 떠나는 코딩 모험!픽셀 단위로 점을 찍어 멋진 캐릭터와 게임 아이템을 만들고, 직접 구상한 스토리를 바탕으로 특별한 애니메이션까지 완성할 수 있다. 피스켈에서 만든 캐릭터와 오브젝트로 다..."
894,처음이야? 파이썬 데이터 분석,"윤영빈, 이용희, 오환",영진닷컴,2025년 06월,19800,10.0,14,https://www.yes24.com/product/goods/147129792,"처음이야? 파이썬 데이터 분석. 처음 배우는 사람도, 바로 따라 하며 익히는 파이썬 데이터 분석 입문서『처음이야, 파이썬 데이터 분석』은 파이썬을 처음 접하는 사람도 바로 실습할 수 있도록 구성된 데이터 분석 입문서이다. 복잡한 이론보다는 구글 코랩 환경을 활..."
895,"AI가 대체하는, 대체 못하는 노동",김관욱,커뮤니케이션북스,2025년 06월,12000,2.0,1,https://www.yes24.com/product/goods/147124214,"AI가 대체하는, 대체 못하는 노동. AI가 바꾼 노동 생태계에서 인간만이 할 수 있는 노동은 무엇인지, 기계가 생산해 내지 못하는 가치는 무엇인지 묻는다. 10년 넘게 콜센터 현장 연구를 진행해 온 저자가 4차 산업혁명을 둘러싼 화려한 구호에 가려진 현장의 ..."
896,LUVIT♥ 실전 백엔드 러스트 Axum 프로그래밍,윤인도,제이펍,2025년 06월,22500,10.0,3,https://www.yes24.com/product/goods/147098139,"LUVIT♥ 실전 백엔드 러스트 Axum 프로그래밍. 프로젝트로 배우는 러스트 웹 백엔드 개발 프레임워크 Axum은 사용성과 성능에 중점을 둔 러스트 프레임워크로, Axum을 활용하면 고성능 서버를 간단하게 구축할 수 있다. 이 책은 Axum의 기초부터 Sea..."
897,AI와 교육 연극 (큰글자책),한귀은,커뮤니케이션북스,2025년 06월,25000,,0,https://www.yes24.com/product/goods/147097407,AI와 교육 연극 (큰글자책). AI 기반의 맞춤형 교육은 객관성과 효율을 앞세워 개인이 스스로를 끊임없이 평가하고 관리하도록 만들고 있다. 『AI와 교육 연극』은 통제된 교육 시스템에 맞서 교육 연극이 펼치는 예측 불가능한 사유와 해방의 가능성을 탐색한다.
898,입문자를 위한 맞춤형 AI 프로그램 만들기,다비드스튜디오,길벗,2025년 06월,25200,9.9,14,https://www.yes24.com/product/goods/147081442,"입문자를 위한 맞춤형 AI 프로그램 만들기. 문서 요약부터 메일 자동 응답까지 쉽고 유용한 AI 프로그램 만들기AI 초보도 할 수 있는 단계적 설명+복붙 소스 코드 제공AI 기술은 하루가 다르게 발전하고 있다. 텍스트 요약, 음성 인식, 이미지 생성, 자연어 ..."
